Title                                   PopularityNormal    Flag       Genres                                                      
 Fading Gigolo                           17.846    0         0         {Comedy}                                                    
 Safe Haven                              23.814    0         0         {Romance,Thriller}                                          
 Wolf Creek 2                            22.234    0         0         {Horror,Thriller}                                           
 The Smurfs 2                            38.136    2019      14        {Fantasy,Family,Comedy,Animation}                           
 The Hobbit: The Desolation of Smaug     84.87     7250      45        {Fantasy,Adventure,Action}                                  
 Before Midnight                         18.964    0         0         {Romance,Drama}                                             
 Gravity                                 44.229    1726      5         {"Science Fiction",Thriller,Drama}                          
 August: Osage County                    21.572    0         0         {Comedy,Drama}                                              
 White House Down                        56.055    4328      32        {Action,Drama,Thriller}                                     
 Superman: Unbound                       12.917    0         0         {Animation,Action,Adventure}                                
 In Secret                               17.117    0         0         {Drama,Thriller,Crime,Romance}                              
 Drinking Buddies                        19.496    12        0         {Romance,Drama,Comedy}                                      
 World War Z                             97.688    9414      56        {Action,Drama,Horror,"Science Fiction",Thriller}            
 Shrek the Musical                       26.967    0         0         {Music,Comedy,Fantasy}                                      
 Iron Man & Hulk: Heroes United          14.615    0         0         {Action,Adventure,Animation,Family}                         
 One Direction: This Is Us               16.785    0         0         {Documentary,Music}                                         
 Broken City                             21.333    0         0         {Thriller,Crime,Drama}                                      
 Snitch                                  23.938    1730      23        {Thriller,Drama,Action}                                     
 Khumba                                  19.969    0         0         {Animation,Adventure,Family}                                
 Scooby-Doo! Adventures: The Mystery Map 15.117    0         0         {Family,Comedy,Mystery,Animation}                           
 This Is the End                         49.866    5877      38        {Action,Comedy}                                             
 Independence Daysaster                  17.916    0         0         {Action,"Science Fiction"}                                  
 The Green Inferno                       22.524    209       1         {Horror,Thriller,Adventure}                                 
 Hansel & Gretel: Witch Hunters          51.361    8574      53        {Fantasy,Horror,Action}                                     
 Begin Again                             23.159    0         0         {Comedy,Music,Romance,Drama}                                
 Last Vegas                              17.987    0         0         {Comedy}                                                    
 Kick-Ass 2                              55.842    1736      11        {Action,Adventure,Crime}                                    
 All Hallows' Eve                        45.88     603       2         {Horror}                                                    
 The Counselor                           27.062    0         0         {Thriller,Crime,Drama}                                      
 Dallas Buyers Club                      38.128    741       5         {Drama,History}                                             
 Oculus                                  23.996    493       0         {Horror}                                                    
 Odd Thomas                              23.366    371       4         {Mystery,Thriller}                                          
 The Heat                                48.408    1155      4         {Action,Comedy,Crime}                                       
 Parker                                  32.532    1874      16        {Action,Crime}                                              
 Blood Ties                              16.853    0         0         {Thriller,Crime,Drama}                                      
 The Spectacular Now                     16.695    0         0         {Comedy,Drama,Romance}                                      
 Adore                                   25.485    12        0         {Drama}                                                     
 Planes                                  39.732    9646      79        {Animation,Family,Adventure,Comedy}                         
 The Railway Man                         24.744    0         0         {Drama,History}                                             
 The Wizards Return: Alex vs. Alex       15.874    0         0         {Family,Comedy,"TV Movie",Fantasy}                          
 30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo14.963    0         0         {Comedy}                                                    
 The Colony                              32.076    0         0         {Action,"Science Fiction",Thriller}                         
 Hummingbird                             51.111    632       5         {Action,Thriller}                                           
 Phantom                                 23.381    0         0         {Thriller}                                                  
