Title                                   PopularityNormal    Flag       Genres                                                      
 Criminal Minds                          817.089   935       7         {Crime,Drama,Mystery}                                       
 Smallville                              385.486   0         0         {"Sci-Fi & Fantasy","Action & Adventure",Drama}             
 The Wheel of Time                       211.21    0         0         {"Sci-Fi & Fantasy",Drama}                                  
 Agatha Christie's Poirot                466.229   0         0         {Crime,Drama,Mystery}                                       
 Breaking Bad                            453.846   0         0         {Drama,Crime}                                               
 The Mentalist                           552.268   62        1         {Crime,Drama,Mystery}                                       
 The Witcher                             244.656   0         0         {Drama,"Action & Adventure","Sci-Fi & Fantasy"}             
 Loki                                    867.11    13651     72        {Drama,"Sci-Fi & Fantasy"}                                  
 The Simpsons                            1528.472  0         0         {Family,Animation,Comedy}                                   
 Law & Order                             1356.09   506       6         {Crime,Drama}                                               
 Monk                                    406.588   7         0         {Comedy,Crime,Drama,Mystery}                                
 Marvel's Agents of S.H.I.E.L.D.         272.06    0         0         {Drama,"Sci-Fi & Fantasy","Action & Adventure"}             
 Supergirl                               310.317   0         0         {Drama,"Sci-Fi & Fantasy","Action & Adventure"}             
 Brooklyn Nine-Nine                      262.15    0         0         {Comedy,Crime}                                              
 Dexter                                  393.858   0         0         {Crime,Drama,Mystery}                                       
 How to Get Away with Murder             243.169   0         0         {Crime,Drama,Mystery}                                       
 The Last of Us                          230.335   0         0         {Drama}                                                     
 Castle                                  798.522   0         0         {Drama,Crime}                                               
 Buffy the Vampire Slayer                411.194   0         0         {"Sci-Fi & Fantasy",Comedy,Drama,"Action & Adventure"}      
 Conan                                   268.948   195       0         {Talk,Comedy,News}                                          
 S.W.A.T.                                265.341   0         0         {Crime,"Action & Adventure",Drama}                          
 NCIS                                    515.677   5964      33        {Crime,Drama,"Action & Adventure"}                          
 Elementary                              407.963   0         0         {Drama,Mystery,Crime}                                       
 Rick and Morty                          1264.842  13194     144       {Animation,Comedy,"Sci-Fi & Fantasy","Action & Adventure"}  
 The Continental: From the World of John Wick209.166   0         0         {Crime,Drama,"Action & Adventure"}                          
 South Park                              340.511   0         0         {Animation,Comedy}                                          
 Star Trek: Deep Space Nine              355.608   0         0         {"Sci-Fi & Fantasy","Action & Adventure",Drama}             
 Californication                         272.85    0         0         {Comedy,Drama}                                              
 Scorpion                                219.671   0         0         {"Action & Adventure",Drama,Crime}                          
 Quantum Leap                            158.966   0         0         {"Sci-Fi & Fantasy","Action & Adventure",Drama}             
 EastEnders                              352.159   0         0         {Soap,Drama,Crime}                                          
 Ghost Whisperer                         498.047   0         0         {"Sci-Fi & Fantasy",Mystery,Drama}                          
 Frasier                                 292.474   0         0         {Comedy}                                                    
 Sex Education                           244.491   0         0         {Comedy,Drama}                                              
 Lost                                    293.199   0         0         {Mystery,"Action & Adventure",Drama}                        
 Psych                                   387.173   0         0         {Comedy,Drama,Mystery}                                      
 Law & Order: Special Victims Unit       582.135   4505      31        {Crime,Drama,Mystery}                                       
 Billions                                246.067   0         0         {Drama}                                                     
 Sons of Anarchy                         372.029   0         0         {Crime,Drama}                                               
 Chucky                                  336.278   54        2         {Crime,"Sci-Fi & Fantasy",Drama}                            
 Bosch                                   249.335   0         0         {Mystery,Drama,Crime}                                       
 For All Mankind                         228.199   0         0         {Drama,"Sci-Fi & Fantasy","War & Politics"}                 
